"Lokalizacja","Sciezka","Nazwa","Wartosc","Typ"
"Rejestr","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","SecurityHealth","C:\WINDOWS\system32\SecurityHealthSystray.exe","Registry Key"
"Rejestr","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","AvastUI.exe","""C:\Program Files\Avast Software\Avast\AvLaunch.exe"" /gui","Registry Key"
"Rejestr","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Autodesk Access","""C:\Program Files\Autodesk\AdODIS\V1\Access\AdskAccessCore.exe"" --minimizedUi --autoLaunch","Registry Key"
"Rejestr","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","RtkAudUService","""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_b55ed36a9a78cc75\RtkAudUService64.exe"" -background","Registry Key"
"Rejestr","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Riot Vanguard","""C:\Program Files\Riot Vanguard\vgtray.exe""","Registry Key"
"Rejestr","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Start WingMan Profiler","C:\Program Files\Logitech\Gaming Software\LWEMon.exe /noui","Registry Key"
"Rejestr","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Autodesk Access Service","""C:\Program Files\Autodesk\AdODIS\V1\Setup\AdskAccessService.exe"" --autoLaunch","Registry Key"
"Rejestr","HKLM:\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Run","TeamsMachineInstaller","C:\Program Files\Teams Installer\Teams.exe --checkInstall --source=PROPLUS","Registry Key"
"Rejestr","HKLM:\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Run","SunJavaUpdateSched","""C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe""","Registry Key"
"Rejestr","HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","OneDrive","""C:\Program Files\Microsoft OneDrive\OneDrive.exe"" /background","Registry Key"
"Rejestr","HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Opera Stable","C:\Users\adamb\AppData\Local\Programs\Opera\opera.exe","Registry Key"
